wdir,temp,maxt,visibility,wspd,datetimeStr,solarenergy,heatindex,cloudcover,mint,datetime,precip,solarradiation,weathertype,snowdepth,sealevelpressure,snow,dew,humidity,precipcover,wgust,conditions,windchill,info
158.75,66.1,82.1,9.4,38.1,2022-04-22T00:00:00-06:00,24.4,79.6,25.0,52.6,1650585600000,0.0,452.5,"Blowing Or Drifting Snow, Smoke Or Haze",,996.2,,17.3,18.32,0.0,58.2,Clear,,
212.42,51.9,62.5,9.9,25.3,2022-04-23T00:00:00-06:00,26.5,,55.3,45.1,1650672000000,0.0,459.3,Squalls,,997.7,,12.2,21.22,0.0,62.2,Partially cloudy,38.4,
148.38,42.1,50.9,9.8,11.7,2022-04-24T00:00:00-06:00,13.0,,76.6,35.7,1650758400000,0.01,239.9,"Light Snow, Light Rain And Snow, Rain Showers, Light Rain",,1016.0,,23.0,48.77,8.33,25.3,"Rain, Overcast",29.9,
168.58,41.5,50.9,9.8,12.7,2022-04-25T00:00:00-06:00,25.4,,59.8,32.2,1650844800000,0.0,440.9,Rain Showers,,1024.3,,20.9,45.49,4.17,28.2,Partially cloudy,24.2,
139.71,51.0,69.4,9.9,17.2,2022-04-26T00:00:00-06:00,26.8,,30.9,30.6,1650931200000,0.0,464.6,,,1018.4,,21.2,37.03,0.0,28.2,Partially cloudy,26.7,
199.63,58.8,74.5,9.9,25.0,2022-04-27T00:00:00-06:00,15.6,,53.2,44.3,1651017600000,0.0,270.8,,,1009.2,,23.5,27.06,4.17,40.6,Partially cloudy,39.4,
159.04,61.6,76.5,9.9,17.1,2022-04-28T00:00:00-06:00,21.6,,28.3,45.4,1651104000000,0.0,374.6,,,1005.0,,18.5,23.29,0.0,23.8,Partially cloudy,41.5,
303.58,57.8,68.2,9.9,30.9,2022-04-29T00:00:00-06:00,23.4,,19.1,48.4,1651190400000,0.0,406.1,,,999.5,,9.9,16.14,0.0,47.4,Clear,42.5,
199.88,52.7,63.0,9.9,18.0,2022-04-30T00:00:00-06:00,25.6,,4.9,39.2,1651276800000,0.0,443.9,,,1011.5,,10.4,18.52,0.0,34.0,Clear,32.5,
173.17,51.0,62.8,9.9,21.1,2022-05-01T00:00:00-06:00,24.2,,44.5,37.5,1651363200000,0.0,419.3,,,1009.4,,22.9,34.84,0.0,33.1,Partially cloudy,30.1,
255.54,45.2,52.4,9.9,32.4,2022-05-02T00:00:00-06:00,16.9,,59.5,35.9,1651449600000,0.0,293.6,"Rain Showers, Light Rain",,1007.9,,32.3,61.16,0.0,42.5,Partially cloudy,29.0,
